date,sales,orders,units_sold,returns,website_visits,conversion_rate,avg_order_value,price,base_price,discount_pct,marketing_spend,promotion,is_holiday,holiday_name,day_of_week,day_of_week_num,month,day_of_month,week_of_year,is_weekend
2023-01-01,2234.16,31,46,3,957,0.032,77.71,42.26,42.29802849180674,0.0009558047214882015,159.33,0,1,New Year,Sunday,6,1,1,52,1
2023-01-02,1062.38,21,38,3,910,0.0228,56.66,40.92,41.91704141929729,0.023842173415890858,75.89,0,0,,Monday,0,1,2,1,0
2023-01-03,1255.95,24,34,2,924,0.0255,55.82,40.93,42.38861312286041,0.03438610212152803,74.26,0,0,,Tuesday,1,1,3,1,0
2023-01-04,1113.33,20,36,2,863,0.023,60.18,41.36,42.91381791384482,0.03613534788491143,78.16,0,0,,Wednesday,2,1,4,1,0
2023-01-05,2109.45,38,68,4,1200,0.0313,60.27,29.41,41.859507975166,0.2973260245917694,123.28,1,0,,Thursday,3,1,5,1,0
2023-01-06,1049.32,18,25,1,790,0.0225,60.83,41.58,41.859517825830494,0.006721756470406093,81.55,0,0,,Friday,4,1,6,1,0
2023-01-07,1050.7,22,35,3,784,0.0282,53.2,42.3,42.94752768930444,0.014969779418584062,85.75,0,0,,Saturday,5,1,7,1,1
2023-01-08,1307.7,24,37,2,915,0.0261,58.12,41.7,42.460460837491745,0.017935776270850672,93.87,0,0,,Sunday,6,1,8,1,1
2023-01-09,1348.34,23,38,3,916,0.0252,64.98,40.04,41.71831536843903,0.04022186038397525,71.18,0,0,,Monday,0,1,9,2,0
2023-01-10,1015.68,18,27,1,885,0.0207,58.88,41.74,42.32553602615158,0.013937993620727653,85.45,0,0,,Tuesday,1,1,10,2,0
2023-01-11,1163.76,21,31,2,995,0.0208,59.68,41.28,41.72194938431252,0.010535248193360158,83.27,0,0,,Wednesday,2,1,11,2,0
2023-01-12,1190.08,21,38,2,835,0.0247,61.03,39.72,41.72056214785785,0.047872400951904814,77.54,0,0,,Thursday,3,1,12,2,0
2023-01-13,1247.42,21,32,2,921,0.0227,63.97,42.13,42.14517736293962,0.000443164255673445,73.29,0,0,,Friday,4,1,13,2,0
2023-01-14,1148.4,24,41,2,900,0.0266,51.04,38.81,40.85203185320532,0.049891042784098914,82.91,0,0,,Saturday,5,1,14,2,1
2023-01-15,2497.88,43,68,6,1196,0.0358,64.88,35.72,40.96504930049218,0.1279302509512626,161.14,1,0,,Sunday,6,1,15,2,1
2023-01-16,1093.21,20,37,1,912,0.0221,56.79,39.94,41.66262748245541,0.04142346497245586,89.83,0,0,,Monday,0,1,16,3,0
2023-01-17,1199.25,22,31,2,983,0.0227,58.5,40.78,41.392301327799345,0.01473096981730966,74.9,0,0,,Tuesday,1,1,17,3,0
